maintenance_id,vehicle_id,cost_type,amount,entry_date,return_date
74,305,Preventiva,329.19,2024-03-29 15:15:23,
75,1292,Corretiva,1199.95,2024-04-29 15:28:40,2024-05-03 15:28:40
76,915,Preventiva,381.23,2024-04-06 00:03:36,2024-04-07 00:03:36
77,631,Preventiva,646.56,2024-05-23 05:22:18,2024-05-26 05:22:18
78,103,Corretiva,535.86,2024-04-11 18:07:56,
79,715,Corretiva,2237.3,2024-03-25 02:29:53,2024-04-06 02:29:53
80,81,Corretiva,2328.59,2024-03-23 10:38:04,
81,215,Corretiva,1443.56,2024-04-21 02:01:40,
82,1321,Corretiva,937.56,2024-03-24 21:49:39,
83,152,Preventiva,625.94,2024-04-23 04:44:08,2024-04-25 04:44:08
84,624,Corretiva,2178.11,2024-05-21 16:50:42,2024-05-24 16:50:42
85,576,Preventiva,468.79,2024-04-06 08:17:26,
86,1981,Preventiva,701.24,2024-03-20 22:59:47,2024-03-23 22:59:47
87,1484,Preventiva,709.07,2024-05-30 18:37:19,2024-06-02 18:37:19
88,1125,Preventiva,420.38,2024-04-16 08:48:19,2024-04-19 08:48:19
89,1643,Preventiva,595.16,2024-03-09 06:32:46,2024-03-11 06:32:46
90,1664,Preventiva,641.12,2024-03-05 06:54:07,2024-03-07 06:54:07
91,532,Corretiva,1668.71,2024-03-10 23:28:25,2024-03-18 23:28:25
92,897,Preventiva,651.0,2024-04-27 02:20:31,2024-04-30 02:20:31
93,1634,Corretiva,2903.47,2024-05-12 01:54:04,
94,776,Preventiva,754.83,2024-04-08 09:59:50,2024-04-10 09:59:50
95,1380,Preventiva,406.07,2024-03-06 18:44:40,2024-03-07 18:44:40
96,1911,Preventiva,404.99,2024-04-04 17:27:23,2024-04-07 17:27:23
97,491,Preventiva,694.81,2024-05-30 15:31:44,2024-05-31 15:31:44
98,1279,Preventiva,526.4,2024-04-18 03:35:08,2024-04-21 03:35:08
99,1745,Preventiva,760.7,2024-05-28 08:50:06,2024-05-30 08:50:06
100,505,Preventiva,625.85,2024-05-18 07:56:34,2024-05-21 07:56:34
101,367,Corretiva,2591.17,2024-03-02 01:04:28,2024-03-16 01:04:28
102,1207,Corretiva,1942.55,2024-05-05 14:03:23,2024-05-11 14:03:23
103,332,Preventiva,586.34,2024-05-02 00:51:19,
104,576,Preventiva,679.96,2024-04-18 20:44:35,2024-04-21 20:44:35
105,238,Corretiva,2389.5,2024-03-25 06:44:46,2024-03-31 06:44:46
106,643,Preventiva,214.1,2024-04-28 07:51:38,
107,378,Preventiva,696.59,2024-03-11 03:37:47,2024-03-12 03:37:47
108,219,Corretiva,2877.53,2024-04-09 13:31:38,2024-04-19 13:31:38
109,1104,Corretiva,2244.55,2024-04-11 06:55:57,2024-04-14 06:55:57
110,1183,Corretiva,1259.47,2024-05-26 19:08:02,2024-06-01 19:08:02
111,1455,Preventiva,494.8,2024-05-19 16:51:46,
112,983,Corretiva,1139.46,2024-03-24 23:14:30,2024-03-27 23:14:30
113,1172,Preventiva,613.15,2024-04-15 13:16:48,2024-04-17 13:16:48
114,1086,Corretiva,1449.92,2024-03-17 06:10:32,2024-03-20 06:10:32
115,275,Corretiva,1859.34,2024-05-23 01:10:45,
116,1929,Preventiva,427.91,2024-05-19 05:12:45,2024-05-21 05:12:45
117,1838,Corretiva,1307.18,2024-03-28 03:48:12,2024-03-31 03:48:12
118,1381,Preventiva,446.36,2024-04-28 03:27:56,
119,404,Preventiva,466.66,2024-04-25 09:59:27,2024-04-28 09:59:27
120,1415,Corretiva,1912.62,2024-03-14 21:48:03,2024-03-28 21:48:03
121,1619,Preventiva,551.4,2024-05-09 09:19:24,2024-05-11 09:19:24
122,1491,Preventiva,376.03,2024-04-19 02:00:13,
123,892,Corretiva,774.19,2024-05-10 20:31:12,
124,249,Preventiva,491.75,2024-04-18 06:17:32,
125,1991,Preventiva,226.32,2024-03-01 01:14:56,
126,1048,Corretiva,2284.57,2024-03-30 11:57:24,2024-04-05 11:57:24
127,365,Preventiva,283.52,2024-03-02 18:32:13,2024-03-03 18:32:13
128,1843,Preventiva,497.69,2024-05-24 13:09:04,2024-05-26 13:09:04
129,1315,Preventiva,515.11,2024-05-19 23:07:42,2024-05-22 23:07:42
130,1940,Preventiva,484.19,2024-05-15 16:21:27,2024-05-17 16:21:27
131,1686,Corretiva,662.94,2024-03-28 23:36:39,2024-04-01 23:36:39
132,1104,Corretiva,1767.78,2024-03-06 06:30:30,2024-03-15 06:30:30
133,433,Preventiva,297.2,2024-05-19 21:34:22,2024-05-20 21:34:22
134,604,Corretiva,2991.3,2024-05-26 04:08:15,2024-06-08 04:08:15
135,806,Corretiva,2927.16,2024-03-08 19:04:01,2024-03-12 19:04:01
136,1764,Corretiva,1899.17,2024-04-14 05:24:11,2024-04-18 05:24:11
137,463,Corretiva,2366.61,2024-03-07 07:09:36,2024-03-12 07:09:36
138,1145,Preventiva,672.85,2024-05-09 05:09:18,
139,814,Preventiva,728.23,2024-05-09 16:34:56,
140,747,Corretiva,1033.9,2024-03-12 16:24:25,2024-03-27 16:24:25
141,1455,Corretiva,747.62,2024-04-13 06:01:00,2024-04-19 06:01:00
142,1935,Preventiva,600.25,2024-04-20 00:46:15,2024-04-21 00:46:15
143,452,Preventiva,508.03,2024-03-25 02:53:01,2024-03-27 02:53:01
144,1718,Preventiva,576.16,2024-05-19 09:23:37,2024-05-20 09:23:37
145,1912,Corretiva,2569.94,2024-04-08 12:07:59,2024-04-14 12:07:59
146,1320,Preventiva,668.38,2024-03-20 06:34:02,
147,1149,Corretiva,2016.09,2024-04-19 01:49:21,2024-04-29 01:49:21
148,402,Corretiva,2873.47,2024-05-06 10:10:10,2024-05-18 10:10:10
149,1239,Preventiva,559.39,2024-03-19 07:18:50,2024-03-20 07:18:50
150,245,Corretiva,577.29,2024-03-29 08:47:18,
151,270,Preventiva,223.97,2024-05-30 13:24:22,2024-06-02 13:24:22
152,871,Corretiva,2517.03,2024-04-29 03:20:01,2024-05-12 03:20:01
153,932,Corretiva,2638.45,2024-04-09 20:48:38,2024-04-16 20:48:38
154,1482,Corretiva,2677.9,2024-04-17 02:23:08,2024-05-02 02:23:08
155,1694,Preventiva,402.25,2024-03-12 00:16:23,2024-03-14 00:16:23
156,1053,Preventiva,577.47,2024-03-21 10:44:20,2024-03-23 10:44:20
157,889,Preventiva,756.09,2024-03-31 18:22:43,2024-04-02 18:22:43
158,729,Preventiva,783.4,2024-04-23 12:51:58,
159,1030,Corretiva,1159.78,2024-03-21 22:34:14,2024-03-28 22:34:14
160,576,Preventiva,377.01,2024-03-21 00:57:17,2024-03-24 00:57:17
161,1118,Corretiva,2495.08,2024-03-07 11:02:56,2024-03-13 11:02:56
162,531,Preventiva,633.65,2024-04-27 10:19:43,2024-04-30 10:19:43
163,756,Preventiva,673.97,2024-03-21 20:00:31,2024-03-24 20:00:31
164,556,Corretiva,1114.08,2024-05-22 09:26:14,2024-05-30 09:26:14
165,836,Corretiva,1353.5,2024-05-18 05:26:37,2024-05-29 05:26:37
166,238,Corretiva,2916.28,2024-03-07 10:45:08,2024-03-11 10:45:08
167,1199,Preventiva,313.36,2024-03-22 15:48:07,2024-03-23 15:48:07
168,1506,Corretiva,1958.96,2024-04-30 21:02:50,2024-05-11 21:02:50
169,1722,Corretiva,1164.25,2024-03-20 11:53:35,2024-03-26 11:53:35
170,1918,Corretiva,770.2,2024-03-13 00:58:08,2024-03-25 00:58:08
171,966,Preventiva,308.66,2024-05-25 03:09:47,2024-05-26 03:09:47
172,179,Preventiva,366.41,2024-04-21 23:09:29,2024-04-22 23:09:29
173,822,Preventiva,755.45,2024-04-13 00:18:48,2024-04-14 00:18:48
174,631,Preventiva,539.94,2024-05-11 09:36:31,
175,1038,Corretiva,1574.51,2024-05-13 11:34:24,2024-05-20 11:34:24
176,1887,Corretiva,1383.88,2024-03-18 07:51:18,2024-03-29 07:51:18
177,82,Corretiva,1049.68,2024-03-09 19:41:48,2024-03-24 19:41:48
178,1171,Preventiva,569.78,2024-04-09 05:24:56,2024-04-12 05:24:56
179,288,Corretiva,1715.64,2024-04-08 13:05:44,
180,1239,Preventiva,475.7,2024-04-12 11:58:54,
181,531,Preventiva,264.43,2024-05-06 08:18:05,2024-05-08 08:18:05
182,948,Corretiva,2652.24,2024-05-01 06:37:41,2024-05-13 06:37:41
183,1362,Preventiva,260.22,2024-05-29 13:25:00,
184,1357,Corretiva,2347.91,2024-03-09 22:56:40,2024-03-14 22:56:40
185,1875,Corretiva,1853.16,2024-04-06 15:19:29,2024-04-09 15:19:29
186,1492,Corretiva,2687.87,2024-03-31 21:02:12,2024-04-15 21:02:12
187,76,Corretiva,2039.09,2024-05-18 09:53:34,2024-05-29 09:53:34
188,1846,Preventiva,286.71,2024-03-23 15:03:55,
189,1159,Preventiva,324.28,2024-03-18 07:24:58,2024-03-20 07:24:58
190,1236,Corretiva,2287.33,2024-04-10 19:46:19,2024-04-16 19:46:19
191,1164,Corretiva,2216.23,2024-04-08 09:23:22,2024-04-11 09:23:22
192,1968,Preventiva,627.84,2024-03-26 08:20:33,
193,1734,Corretiva,1452.43,2024-03-23 17:34:38,2024-03-31 17:34:38
194,1361,Corretiva,1593.41,2024-05-24 00:24:43,2024-05-28 00:24:43
195,824,Corretiva,1696.33,2024-04-10 07:47:51,
196,1774,Preventiva,787.5,2024-05-18 09:11:11,2024-05-19 09:11:11
197,699,Preventiva,749.51,2024-04-20 01:54:37,
198,1670,Preventiva,247.55,2024-03-05 14:29:05,2024-03-07 14:29:05
199,1386,Preventiva,284.98,2024-05-30 22:25:58,2024-06-01 22:25:58
200,569,Preventiva,386.96,2024-05-16 01:53:03,2024-05-18 01:53:03
201,706,Preventiva,231.29,2024-05-28 04:17:16,2024-05-31 04:17:16
202,537,Corretiva,1675.62,2024-05-24 07:11:07,2024-06-04 07:11:07
203,511,Preventiva,684.64,2024-05-17 05:33:05,
204,249,Preventiva,361.43,2024-03-16 03:13:24,2024-03-17 03:13:24
205,1615,Preventiva,532.06,2024-04-14 04:38:24,2024-04-16 04:38:24
206,545,Preventiva,759.29,2024-03-20 10:49:26,2024-03-23 10:49:26
207,31,Corretiva,2415.87,2024-04-06 11:52:19,2024-04-11 11:52:19
208,76,Preventiva,280.97,2024-03-06 08:03:34,
209,483,Preventiva,717.01,2024-04-04 11:40:38,2024-04-05 11:40:38
210,1740,Corretiva,1114.47,2024-05-29 15:54:52,2024-06-08 15:54:52
211,345,Preventiva,584.08,2024-03-25 03:12:12,2024-03-26 03:12:12
212,219,Corretiva,501.43,2024-05-11 08:24:36,2024-05-16 08:24:36
213,1488,Corretiva,1853.67,2024-04-11 09:44:17,2024-04-22 09:44:17
214,1594,Corretiva,2858.21,2024-04-08 11:50:54,2024-04-21 11:50:54
215,1844,Corretiva,1128.57,2024-05-27 02:46:54,2024-06-11 02:46:54
216,509,Corretiva,2512.1,2024-05-30 14:00:11,2024-06-04 14:00:11
217,1823,Corretiva,788.84,2024-04-20 13:47:52,2024-04-27 13:47:52
218,1170,Corretiva,1434.06,2024-05-05 09:00:13,2024-05-12 09:00:13
219,608,Preventiva,461.32,2024-03-15 02:04:34,2024-03-16 02:04:34
220,463,Corretiva,2476.31,2024-03-28 00:00:35,2024-04-09 00:00:35
221,1978,Corretiva,1111.23,2024-05-28 03:39:40,2024-06-06 03:39:40
222,695,Corretiva,1716.94,2024-04-22 16:55:47,2024-04-29 16:55:47
223,1420,Corretiva,1658.25,2024-04-19 08:09:15,2024-04-25 08:09:15
224,172,Preventiva,738.22,2024-05-08 01:34:43,2024-05-09 01:34:43
225,909,Corretiva,1376.39,2024-03-06 04:50:56,2024-03-09 04:50:56
226,1990,Corretiva,1995.59,2024-04-23 03:50:37,2024-04-27 03:50:37
227,1555,Corretiva,2834.94,2024-04-15 18:13:30,2024-04-18 18:13:30
228,1457,Preventiva,398.87,2024-05-17 14:20:24,2024-05-19 14:20:24
229,1538,Preventiva,795.26,2024-03-15 07:49:59,
230,1701,Corretiva,561.71,2024-05-27 10:20:28,2024-05-30 10:20:28
231,1582,Corretiva,1620.9,2024-03-08 06:57:48,2024-03-11 06:57:48
232,1867,Corretiva,2054.43,2024-03-17 21:50:30,2024-03-25 21:50:30
233,170,Preventiva,655.1,2024-04-24 03:33:24,2024-04-26 03:33:24
234,1560,Preventiva,667.58,2024-05-01 10:39:51,2024-05-04 10:39:51
235,1718,Preventiva,759.77,2024-03-22 09:41:07,2024-03-23 09:41:07
236,1344,Corretiva,855.53,2024-03-11 21:49:56,2024-03-16 21:49:56
237,293,Corretiva,1486.0,2024-05-21 00:23:14,
238,931,Preventiva,316.7,2024-03-23 09:44:03,2024-03-24 09:44:03
239,1276,Preventiva,528.23,2024-04-24 02:25:47,2024-04-26 02:25:47
240,649,Preventiva,298.03,2024-04-26 08:43:45,
241,1465,Preventiva,480.98,2024-04-08 03:35:13,2024-04-09 03:35:13
242,1499,Preventiva,601.65,2024-04-23 02:44:25,2024-04-24 02:44:25
243,1053,Corretiva,2889.17,2024-04-17 13:45:26,2024-04-27 13:45:26
244,1690,Corretiva,2162.35,2024-05-25 01:23:54,2024-06-07 01:23:54
245,1790,Corretiva,1984.63,2024-03-19 14:06:07,2024-04-03 14:06:07
246,693,Preventiva,490.04,2024-05-05 04:09:46,2024-05-07 04:09:46
247,1544,Corretiva,2931.9,2024-03-22 17:17:24,2024-04-01 17:17:24
248,172,Corretiva,2657.81,2024-04-06 00:23:46,
249,465,Preventiva,728.45,2024-05-01 02:58:17,2024-05-02 02:58:17
250,475,Preventiva,525.33,2024-03-28 07:11:37,2024-03-31 07:11:37
251,1223,Corretiva,1328.03,2024-03-29 18:31:51,
252,499,Corretiva,665.8,2024-05-08 10:04:19,2024-05-21 10:04:19
253,186,Corretiva,2537.65,2024-03-07 14:26:02,
254,1442,Preventiva,762.56,2024-04-11 16:53:44,
255,718,Corretiva,2819.59,2024-05-30 20:37:28,2024-06-09 20:37:28
256,658,Corretiva,2623.63,2024-05-30 15:28:28,2024-06-08 15:28:28
257,1859,Preventiva,295.52,2024-03-07 16:00:05,2024-03-09 16:00:05
258,1156,Preventiva,249.26,2024-03-20 09:31:44,2024-03-21 09:31:44
259,31,Preventiva,457.13,2024-03-25 03:11:51,2024-03-28 03:11:51
260,1975,Preventiva,201.25,2024-05-24 22:14:18,
261,424,Corretiva,2196.85,2024-05-20 03:48:26,2024-05-28 03:48:26
262,1102,Preventiva,299.13,2024-05-20 00:19:34,2024-05-21 00:19:34
263,313,Preventiva,249.41,2024-04-03 15:02:49,
264,1,Preventiva,738.23,2024-03-15 08:31:08,2024-03-16 08:31:08
265,1490,Preventiva,556.02,2024-05-15 20:53:56,2024-05-17 20:53:56
266,1596,Preventiva,370.67,2024-05-04 00:31:52,
267,1845,Corretiva,2108.66,2024-04-25 15:54:15,2024-04-30 15:54:15
268,302,Corretiva,1059.48,2024-05-29 20:07:01,2024-06-10 20:07:01
269,1199,Corretiva,907.02,2024-04-29 12:17:03,2024-05-12 12:17:03
270,1384,Corretiva,1266.0,2024-03-01 17:05:08,2024-03-12 17:05:08
271,1227,Corretiva,2826.24,2024-05-14 08:33:19,2024-05-29 08:33:19
272,950,Corretiva,1101.7,2024-03-28 05:50:35,
273,480,Preventiva,235.25,2024-04-30 08:50:27,2024-05-01 08:50:27
274,464,Preventiva,275.67,2024-05-25 10:37:23,2024-05-27 10:37:23
275,876,Corretiva,1299.88,2024-03-13 05:17:30,2024-03-27 05:17:30
276,1463,Corretiva,806.55,2024-03-11 12:05:46,2024-03-20 12:05:46
277,1667,Corretiva,1024.43,2024-03-10 17:45:59,2024-03-24 17:45:59
278,113,Corretiva,1476.99,2024-04-20 08:14:25,2024-04-25 08:14:25
279,164,Preventiva,433.74,2024-03-25 18:48:30,2024-03-27 18:48:30
280,1416,Corretiva,2272.85,2024-04-25 00:56:54,2024-05-10 00:56:54
281,422,Corretiva,2916.74,2024-05-05 07:15:54,2024-05-19 07:15:54
282,970,Preventiva,721.5,2024-03-19 12:39:23,
283,769,Corretiva,1717.24,2024-04-27 17:10:32,2024-05-01 17:10:32
284,465,Preventiva,344.01,2024-03-25 00:32:27,2024-03-26 00:32:27
285,862,Preventiva,308.31,2024-04-14 10:57:12,
286,32,Corretiva,1357.41,2024-05-22 09:15:17,2024-06-05 09:15:17
287,1037,Preventiva,489.68,2024-05-16 23:53:25,2024-05-17 23:53:25
288,1524,Preventiva,288.68,2024-03-09 09:34:47,2024-03-10 09:34:47
289,1535,Corretiva,1476.73,2024-04-08 13:05:22,2024-04-19 13:05:22
290,1793,Preventiva,661.83,2024-03-26 04:16:10,2024-03-28 04:16:10
291,135,Corretiva,1977.44,2024-03-01 07:44:37,2024-03-15 07:44:37
292,1396,Preventiva,399.56,2024-05-10 04:07:27,2024-05-12 04:07:27
293,1916,Preventiva,697.73,2024-04-27 23:27:20,2024-04-29 23:27:20
294,1416,Preventiva,700.88,2024-03-24 20:06:37,2024-03-26 20:06:37
295,811,Corretiva,2630.41,2024-05-07 10:50:53,2024-05-20 10:50:53
296,1757,Corretiva,1163.41,2024-04-20 04:52:12,2024-04-29 04:52:12
297,138,Preventiva,343.39,2024-04-08 22:04:05,
298,160,Preventiva,521.15,2024-03-01 21:07:07,2024-03-03 21:07:07
299,1271,Preventiva,721.13,2024-03-07 20:19:57,2024-03-10 20:19:57
300,1953,Corretiva,2000.61,2024-05-20 08:42:15,2024-06-04 08:42:15
301,1759,Preventiva,596.77,2024-05-22 06:10:48,2024-05-25 06:10:48
302,365,Preventiva,536.45,2024-04-19 15:34:09,2024-04-21 15:34:09
303,1644,Preventiva,611.05,2024-05-15 22:45:19,
304,1972,Preventiva,212.41,2024-04-23 00:12:03,
305,788,Preventiva,375.39,2024-03-14 11:26:12,2024-03-17 11:26:12
306,497,Corretiva,2322.9,2024-03-12 14:20:27,2024-03-18 14:20:27
307,889,Corretiva,2228.89,2024-03-29 01:14:10,2024-04-09 01:14:10
308,248,Preventiva,711.82,2024-05-21 19:22:32,
309,729,Preventiva,779.09,2024-05-12 10:43:52,
310,1381,Corretiva,1751.16,2024-05-18 07:46:27,2024-05-22 07:46:27
311,1616,Corretiva,805.24,2024-05-21 19:15:05,2024-06-01 19:15:05
312,862,Preventiva,673.4,2024-03-20 02:48:25,2024-03-22 02:48:25
313,1183,Preventiva,766.96,2024-03-23 16:58:22,2024-03-26 16:58:22
314,1891,Preventiva,297.38,2024-03-10 08:30:04,2024-03-11 08:30:04
315,1585,Preventiva,794.67,2024-05-10 23:46:25,2024-05-12 23:46:25
316,1087,Preventiva,712.1,2024-05-20 10:57:00,2024-05-22 10:57:00
317,1321,Preventiva,665.52,2024-04-06 23:31:41,2024-04-09 23:31:41
318,511,Preventiva,582.49,2024-04-26 11:31:29,2024-04-29 11:31:29
319,219,Preventiva,760.28,2024-03-15 01:32:40,2024-03-18 01:32:40
320,1686,Corretiva,1305.54,2024-05-24 14:51:36,2024-06-02 14:51:36
321,141,Preventiva,312.85,2024-05-18 16:17:55,2024-05-20 16:17:55
322,64,Corretiva,1346.81,2024-05-28 20:02:02,2024-06-10 20:02:02
323,29,Corretiva,713.06,2024-05-13 18:43:31,2024-05-23 18:43:31
324,1803,Preventiva,281.46,2024-05-20 05:00:46,2024-05-23 05:00:46
325,1665,Corretiva,2062.37,2024-03-03 06:08:00,
326,1948,Corretiva,1280.15,2024-05-07 00:39:24,2024-05-13 00:39:24
327,902,Preventiva,232.95,2024-03-31 05:29:35,2024-04-01 05:29:35
328,432,Corretiva,2998.2,2024-05-24 16:54:06,2024-06-02 16:54:06
329,1255,Preventiva,418.27,2024-05-13 00:04:53,2024-05-16 00:04:53
330,921,Corretiva,565.37,2024-05-18 15:06:57,2024-05-21 15:06:57
331,565,Preventiva,758.85,2024-05-13 18:40:35,2024-05-14 18:40:35
332,315,Corretiva,737.89,2024-03-25 06:42:13,2024-03-29 06:42:13
333,1026,Corretiva,956.55,2024-05-11 15:37:33,2024-05-15 15:37:33
334,256,Preventiva,365.91,2024-03-10 20:04:51,2024-03-11 20:04:51
335,1661,Preventiva,529.36,2024-05-19 08:48:44,2024-05-22 08:48:44
336,1649,Corretiva,2144.75,2024-05-18 03:10:03,
337,1232,Preventiva,751.3,2024-03-21 05:47:42,2024-03-23 05:47:42
338,1025,Corretiva,630.13,2024-05-14 07:25:30,
339,1785,Preventiva,734.84,2024-04-11 21:18:08,
340,1117,Corretiva,767.23,2024-03-28 18:32:12,
341,1700,Preventiva,400.44,2024-05-12 09:02:04,
342,1725,Preventiva,687.35,2024-03-21 17:04:06,2024-03-24 17:04:06
343,401,Preventiva,774.37,2024-03-03 03:40:59,2024-03-06 03:40:59
344,1545,Preventiva,203.17,2024-03-18 13:47:43,2024-03-20 13:47:43
345,843,Preventiva,528.54,2024-03-30 20:55:26,
346,650,Corretiva,2562.56,2024-05-18 15:44:48,2024-05-24 15:44:48
347,430,Corretiva,1528.86,2024-05-27 23:41:08,2024-06-08 23:41:08
348,824,Preventiva,713.68,2024-03-26 09:36:32,
349,1281,Corretiva,2013.14,2024-04-28 08:59:46,
350,360,Corretiva,977.91,2024-04-06 08:53:51,2024-04-18 08:53:51
351,404,Preventiva,548.12,2024-05-29 06:49:51,2024-06-01 06:49:51
352,764,Preventiva,224.12,2024-04-18 19:05:42,2024-04-21 19:05:42
353,158,Preventiva,436.83,2024-05-25 11:17:38,2024-05-28 11:17:38
354,855,Preventiva,201.69,2024-03-11 11:54:22,2024-03-14 11:54:22
355,346,Preventiva,264.17,2024-05-28 07:21:17,2024-05-30 07:21:17
356,450,Preventiva,588.78,2024-03-17 05:59:31,
357,1139,Corretiva,1446.81,2024-05-27 14:10:29,2024-06-05 14:10:29
358,849,Corretiva,1003.87,2024-03-25 03:46:42,2024-04-07 03:46:42
359,636,Corretiva,970.0,2024-03-10 20:45:04,2024-03-18 20:45:04
360,740,Corretiva,2872.86,2024-04-09 13:05:14,2024-04-19 13:05:14
361,772,Preventiva,478.15,2024-05-06 07:08:32,
362,192,Corretiva,1222.68,2024-03-29 13:04:16,2024-04-09 13:04:16
